Country,Code,Year,Deforestation
Algeria,DZA,1990,14800
Argentina,ARG,1990,213600
Aruba,ABW,1990,0
Australia,AUS,1990,626200
Austria,AUT,1990,3450
Bahrain,BHR,1990,10
Bangladesh,BGD,1990,7500
Belize,BLZ,1990,14070
Bhutan,BTN,1990,0
Bolivia,BOL,1990,270330
Brazil,BRA,1990,4254800
Bulgaria,BGR,1990,0
Burundi,BDI,1990,8250
Cameroon,CMR,1990,90550
Canada,CAN,1990,54420
Cayman Islands,CYM,1990,20
Central African Republic,CAF,1990,30000
Chile,CHL,1990,10110
China,CHN,1990,327540
Colombia,COL,1990,229130
Congo,COG,1990,12000
Costa Rica,CRI,1990,9790
Cuba,CUB,1990,0
Denmark,DNK,1990,30
Djibouti,DJI,1990,0
Dominican Republic,DOM,1990,620
Ecuador,ECU,1990,129940
El Salvador,SLV,1990,4500
Europe,,1990,88000
Falkland Islands,FLK,1990,0
Faroe Islands,FRO,1990,0
Finland,FIN,1990,12180
French Guyana,,1990,5560
Gabon,GAB,1990,10240
Germany,DEU,1990,6800
Gibraltar,GIB,1990,0
Greenland,GRL,1990,0
Guadeloupe,GLP,1990,250
Guatemala,GTM,1990,57200
Guinea,GIN,1990,46700
Guyana,GUY,1990,3790
Honduras,HND,1990,23300
Hungary,HUN,1990,830
Iceland,ISL,1990,0
India,IND,1990,384000
Indonesia,IDN,1990,2526000
Iraq,IRQ,1990,0
Ireland,IRL,1990,620
Isle of Man,IMN,1990,0
Jamaica,JAM,1990,890
Kuwait,KWT,1990,0
Liberia,LBR,1990,30260
Liechtenstein,LIE,1990,210
Madagascar,MDG,1990,70500
Malawi,MWI,1990,42000
Maldives,MDV,1990,0
Mali,MLI,1990,84000
Martinique,MTQ,1990,80
Mauritania,MRT,1990,37720
Mauritius,MUS,1990,10
Mayotte,MYT,1990,370
Mexico,MEX,1990,685810
Monaco,MCO,1990,0
Mongolia,MNG,1990,9060
Morocco,MAR,1990,780
Mozambique,MOZ,1990,219000
Myanmar,MMR,1990,435000
Nauru,NRU,1990,0
Nepal,NPL,1990,120
Netherlands,NLD,1990,1140
New Zealand,NZL,1990,15480
Nicaragua,NIC,1990,100200
Niger,NER,1990,64190
Nigeria,NGA,1990,163310
North Korea,PRK,1990,47700
Norway,NOR,1990,4920
Panama,PAN,1990,18950
Papua New Guinea,PNG,1990,12170
Paraguay,PRY,1990,255420
Peru,PER,1990,160280
Poland,POL,1990,510
Qatar,QAT,1990,0
San Marino,SMR,1990,0
Sao Tome and Principe,STP,1990,30
Singapore,SGP,1990,280
Somalia,SOM,1990,76750
South Africa,ZAF,1990,399000
South America,,1990,5837000
South Korea,KOR,1990,7500
Suriname,SUR,1990,3680
Sweden,SWE,1990,11490
Switzerland,CHE,1990,1160
Syria,SYR,1990,77250
Tanzania,TZA,1990,400000
Thailand,THA,1990,63000
Togo,TGO,1990,10320
Tokelau,TKL,1990,0
Tunisia,TUN,1990,4320
Turkey,TUR,1990,2220
Uganda,UGA,1990,51090
United States,USA,1990,0
Vatican,VAT,1990,0
Venezuela,VEN,1990,303850
Vietnam,VNM,1990,0
Zimbabwe,ZWE,1990,46070
