Entity,Code,Year,Annual CO2 emissions percentage,Annual CO₂ emissions
Africa,,1884,0.002177863,21984
Africa,,1885,0.003602241,36640
Africa,,1886,0.004612761,47632
Africa,,1887,0.004395201,47632
Africa,,1888,0.006712849,80608
Africa,,1889,0.010978128729988584,131904
Africa,,1890,0.022714373,296784
Africa,,1891,0.021680226827313156,296784
Africa,,1892,0.034786265,479984
Africa,,1893,0.13203700073638452,1799024
Africa,,1894,0.17235842458986236,2432896
Africa,,1895,0.22323549559518754,3337904
Africa,,1896,0.27563124744700834,4257568
Africa,,1897,0.2953865442654272,4777856
Africa,,1898,0.35459571359116476,6049264
Africa,,1899,0.2961665694523115,5517984
Africa,,1900,0.11880269577235916,2330304
Africa,,1901,0.1931599747599836,3909488
Africa,,1902,0.2807865369090369,5825760
Africa,,1903,0.34906095398838116,7895920
Africa,,1904,0.3895436894903107,8910848
Africa,,1905,0.4211162391426984,10262864
Africa,,1906,0.4605045393639468,11717472
Africa,,1907,0.4458209787453909,12930256
Africa,,1908,0.48113495195502654,13402912
Africa,,1909,0.5303084577420635,15385136
Africa,,1910,0.572115132,17411328
Africa,,1911,0.5457882155767014,16865392
Africa,,1912,0.5530179053820802,17953600
Africa,,1913,0.5575395908108532,19606064
Africa,,1914,0.6129283139460373,19551104
Africa,,1915,0.6243419500794581,19606064
Africa,,1916,0.6856011586770573,23255408
Africa,,1917,0.7142869290072534,25343888
Africa,,1918,0.7064825194041363,24724672
Africa,,1919,0.8386342437580068,25442816
Africa,,1920,0.7929020333691918,28051584
Africa,,1921,0.9009650011596237,27985632
Africa,,1922,0.736523688,23969888
Africa,,1923,0.7869657589624937,29044528
Africa,,1924,0.8272450426465044,30631040
Africa,,1925,0.8604043955002586,32184576
Africa,,1926,0.9364732098955145,34437936
Africa,,1927,0.8432879796908742,33840704
Africa,,1928,0.8700602416559996,34770320
Africa,,1929,0.8348845919878245,35801616
Africa,,1930,0.8513100962770054,33695670
Africa,,1931,0.8324680669358312,29463712
Africa,,1932,0.8338915846233229,26622752
Africa,,1933,0.847273693,28491132
Africa,,1934,0.8899785297036708,32539280
Africa,,1935,0.9361823530436829,35909544
Africa,,1936,0.927200398,39015950
Africa,,1937,0.9305517674695446,41844264
Africa,,1938,1.0405939854119675,44013164
Africa,,1939,1.048132413386336,46852930
Africa,,1940,1.016429975582322,49649184
Africa,,1941,1.0806651820581183,54023456
Africa,,1942,1.1805841123686538,58822884
Africa,,1943,1.1845594673516189,60119628
Africa,,1944,1.2907134602942325,66632910
Africa,,1945,1.5743123630493292,67527180
Africa,,1946,1.4789774047398905,68159370
Africa,,1947,1.3152379569364956,67934744
Africa,,1948,1.3167153907129663,71733140
Africa,,1949,1.485837991260574,77323530
Africa,,1950,1.5997318367302955,94868000
Africa,,1951,1.5846806986430848,101125270
Africa,,1952,1.7058505550341865,110325210
Africa,,1953,1.6840917069641683,112007010
Africa,,1954,1.7311381971224356,117536136
Africa,,1955,1.738370645162999,129402500
Africa,,1956,1.7045930008778727,135106260
Africa,,1957,1.7297735538455794,141593120
Africa,,1958,1.7662779424224497,148670930
Africa,,1959,1.6696379331931188,147841250
Africa,,1960,1.6679133827530401,156567200
Africa,,1961,1.720590691460668,161994340
Africa,,1962,1.7064738729117308,166334910
Africa,,1963,1.7175298575239077,176334880
Africa,,1964,1.788904341500462,193639340
Africa,,1965,1.8888065100460745,213634400
Africa,,1966,1.863692486335487,221082100
Africa,,1967,1.9370716019753886,237045200
Africa,,1968,1.9935547400516858,257271420
Africa,,1969,2.0180459589109954,277716580
Africa,,1970,2.029706342043558,302405900
Africa,,1971,2.138923675451395,331612900
Africa,,1972,2.167639536012199,351688000
Africa,,1973,2.211408010875837,377821120
Africa,,1974,2.281944733927639,388183260
Africa,,1975,2.269528852884307,387017150
Africa,,1976,2.334271421884828,419914700
Africa,,1977,2.3402745444571855,432918820
Africa,,1978,2.424519515805153,462338660
Africa,,1979,2.544679830743118,498986780
Africa,,1980,2.750456881948904,536023460
Africa,,1981,2.885375862588825,548882300
Africa,,1982,3.030926464024611,571969100
Africa,,1983,3.131919768543644,594811400
Africa,,1984,3.3061778426232604,649591230
Africa,,1985,3.279564678119337,666141950
Africa,,1986,3.347938673227095,690176300
Africa,,1987,3.2483803401441285,690283140
Africa,,1988,3.2844429146001075,725373250
Africa,,1989,3.1205362461102446,698582900
Africa,,1990,2.8964959193302553,658343900
Africa,,1991,2.9658752791734635,687670400
Africa,,1992,2.9592302057591606,666660030
Africa,,1993,3.1044506392195874,706441700
Africa,,1994,3.436855217766092,790233800
Africa,,1995,3.5889280921537883,844549400
Africa,,1996,3.5958380649328068,872284300
Africa,,1997,3.663396494038533,893938400
Africa,,1998,3.7544872861343817,912482100
Africa,,1999,3.6207009944846003,899879040
Africa,,2000,3.6488858244607196,930850800
Africa,,2001,3.581231764365388,920601800
Africa,,2002,3.4250502579546285,899995840
Africa,,2003,3.5766641958112295,989644600
Africa,,2004,3.652233788331878,1045725800
Africa,,2005,3.5772220382615183,1059372350
Africa,,2006,3.5626288511520716,1091175800
Africa,,2007,3.541820530040457,1116900100
Africa,,2008,3.662617463706409,1174755200
Africa,,2009,3.7038022885531765,1168250400
Africa,,2010,3.6475371949342223,1216669000
Africa,,2011,3.644219208087028,1257421000
Africa,,2012,3.6255642160350563,1268948200
Africa,,2013,3.633092479984623,1282541800
Africa,,2014,3.8289000602296555,1357348700
Africa,,2015,3.764060666,1332661800
Africa,,2016,3.8827253761758707,1375131500
Africa,,2017,3.8711318854890346,1393216400
Africa,,2018,3.7752197016685014,1386654300
Africa,,2019,3.9871732565203084,1479411800
Africa,,2020,3.859711053013067,1355782400
Africa,,2021,3.8969081638281815,1441534000
Africa,,2022,3.8411250547937725,1432502900
Africa,,2023,3.754115676284034,1418739200
Asia (excl. China and India),,1750,0,0
Asia (excl. China and India),,1751,0,0
Asia (excl. China and India),,1752,0,0
Asia (excl. China and India),,1753,0,0
Asia (excl. China and India),,1754,0,0
Asia (excl. China and India),,1755,0,0
Asia (excl. China and India),,1756,0,0
Asia (excl. China and India),,1757,0,0
Asia (excl. China and India),,1758,0,0
Asia (excl. China and India),,1759,0,0
Asia (excl. China and India),,1760,0,0
Asia (excl. China and India),,1761,0,0
Asia (excl. China and India),,1762,0,0
Asia (excl. China and India),,1763,0,0
Asia (excl. China and India),,1764,0,0
Asia (excl. China and India),,1765,0,0
Asia (excl. China and India),,1766,0,0
Asia (excl. China and India),,1767,0,0
Asia (excl. China and India),,1768,0,0
Asia (excl. China and India),,1769,0,0
Asia (excl. China and India),,1770,0,0
Asia (excl. China and India),,1771,0,0
Asia (excl. China and India),,1772,0,0
Asia (excl. China and India),,1773,0,0
Asia (excl. China and India),,1774,0,0
Asia (excl. China and India),,1775,0,0
Asia (excl. China and India),,1776,0,0
Asia (excl. China and India),,1777,0,0
Asia (excl. China and India),,1778,0,0
Asia (excl. China and India),,1779,0,0
Asia (excl. China and India),,1780,0,0
Asia (excl. China and India),,1781,0,0
Asia (excl. China and India),,1782,0,0
Asia (excl. China and India),,1783,0,0
Asia (excl. China and India),,1784,0,0
Asia (excl. China and India),,1785,0,0
Asia (excl. China and India),,1786,0,0
Asia (excl. China and India),,1787,0,0
Asia (excl. China and India),,1788,0,0
Asia (excl. China and India),,1789,0,0
Asia (excl. China and India),,1790,0,0
Asia (excl. China and India),,1791,0,0
Asia (excl. China and India),,1792,0,0
Asia (excl. China and India),,1793,0,0
Asia (excl. China and India),,1794,0,0
Asia (excl. China and India),,1795,0,0
Asia (excl. China and India),,1796,0,0
Asia (excl. China and India),,1797,0,0
Asia (excl. China and India),,1798,0,0
Asia (excl. China and India),,1799,0,0
Asia (excl. China and India),,1800,0,0
Asia (excl. China and India),,1801,0,0
Asia (excl. China and India),,1802,0,0
Asia (excl. China and India),,1803,0,0
Asia (excl. China and India),,1804,0,0
Asia (excl. China and India),,1805,0,0
Asia (excl. China and India),,1806,0,0
Asia (excl. China and India),,1807,0,0
Asia (excl. China and India),,1808,0,0
Asia (excl. China and India),,1809,0,0
Asia (excl. China and India),,1810,0,0
Asia (excl. China and India),,1811,0,0
Asia (excl. China and India),,1812,0,0
Asia (excl. China and India),,1813,0,0
Asia (excl. China and India),,1814,0,0
Asia (excl. China and India),,1815,0,0
Asia (excl. China and India),,1816,0,0
Asia (excl. China and India),,1817,0,0
Asia (excl. China and India),,1818,0,0
Asia (excl. China and India),,1819,0,0
Asia (excl. China and India),,1820,0,0
Asia (excl. China and India),,1821,0,0
Asia (excl. China and India),,1822,0,0
Asia (excl. China and India),,1823,0,0
Asia (excl. China and India),,1824,0,0
Asia (excl. China and India),,1825,0,0
Asia (excl. China and India),,1826,0,0
Asia (excl. China and India),,1827,0,0
Asia (excl. China and India),,1828,0,0
Asia (excl. China and India),,1829,0,0
Asia (excl. China and India),,1830,0.002663265,2370
Asia (excl. China and India),,1831,0.00341738,2845
Asia (excl. China and India),,1832,0.002308393,1895
Asia (excl. China and India),,1833,0.002846883,2370
Asia (excl. China and India),,1834,0,0
Asia (excl. China and India),,1835,0,0
Asia (excl. China and India),,1836,0,0
Asia (excl. China and India),,1837,0,0
Asia (excl. China and India),,1838,0,0
Asia (excl. China and India),,1839,0,0
Asia (excl. China and India),,1840,0,0
Asia (excl. China and India),,1841,0,0
Asia (excl. China and India),,1842,0,0
Asia (excl. China and India),,1843,0,0
Asia (excl. China and India),,1844,0,0
Asia (excl. China and India),,1845,0,0
Asia (excl. China and India),,1846,0,0
Asia (excl. China and India),,1847,0,0
Asia (excl. China and India),,1848,0,0
Asia (excl. China and India),,1849,0,0
Asia (excl. China and India),,1850,0.007467198,14699
Asia (excl. China and India),,1851,0,0
Asia (excl. China and India),,1852,0,0
Asia (excl. China and India),,1853,0,0
Asia (excl. China and India),,1854,0,0
Asia (excl. China and India),,1855,0.017127113076066895,44575
Asia (excl. China and India),,1856,0,0
Asia (excl. China and India),,1857,0,0
Asia (excl. China and India),,1858,0.021920626,62594
Asia (excl. China and India),,1859,0.021940880064507187,66387
Asia (excl. China and India),,1860,0.026399762,87726
Asia (excl. China and India),,1861,0.031912694,111436
Asia (excl. China and India),,1862,0.028239473,100530
Asia (excl. China and India),,1863,0.027737107,105272
Asia (excl. China and India),,1864,0.028832152,118075
Asia (excl. China and India),,1865,0.060499525,263083
Asia (excl. China and India),,1866,0.12591483588778093,565442
Asia (excl. China and India),,1867,0.1321568115354824,636398
Asia (excl. China and India),,1868,0.10646365035851076,527337
Asia (excl. China and India),,1869,0.14223404397088202,747657
Asia (excl. China and India),,1870,0.12605624757454445,677097
Asia (excl. China and India),,1871,0.15768103919154633,900179
Asia (excl. China and India),,1872,0.15394102077822788,973161
Asia (excl. China and India),,1873,0.1385129741145211,930481
Asia (excl. China and India),,1874,0.2593672019925908,1634152
Asia (excl. China and India),,1875,0.39596994092837595,2702626
Asia (excl. China and India),,1876,0.40584006195767147,2809069
Asia (excl. China and India),,1877,0.4096504193716792,2890927
Asia (excl. China and India),,1878,0.5202790530026653,3692158
Asia (excl. China and India),,1879,0.5248784421808806,3987997
Asia (excl. China and India),,1880,0.5015467090757252,4303550
Asia (excl. China and India),,1881,0.5079259063454066,4510204
Asia (excl. China and India),,1882,0.4991824094960349,4681773
Asia (excl. China and India),,1883,0.5178178102765518,5165308
Asia (excl. China and India),,1884,0.5409532161169411,5460543
Asia (excl. China and India),,1885,0.5976149627803244,6078608
Asia (excl. China and India),,1886,0.6141143710338162,6341429
Asia (excl. China and India),,1887,0.6893786567864559,7470986
Asia (excl. China and India),,1888,0.6918444937894804,8307680
Asia (excl. China and India),,1889,0.8123872687629868,9760965
Asia (excl. China and India),,1890,0.8155012052499646,10655267
Asia (excl. China and India),,1891,0.9081347527695987,12431598
Asia (excl. China and India),,1892,0.944194484,13028080
Asia (excl. China and India),,1893,1.0914767550328224,14871535
Asia (excl. China and India),,1894,1.213784041273436,17132962
Asia (excl. China and India),,1895,1.2888570394710848,19271492
Asia (excl. China and India),,1896,1.3222361306402002,20424064
Asia (excl. China and India),,1897,1.3747302243739055,22236162
Asia (excl. China and India),,1898,1.604149252579911,27366158
Asia (excl. China and India),,1899,1.5348368684498561,28596088
Asia (excl. China and India),,1900,1.635241280789787,32075108
Asia (excl. China and India),,1901,1.8372674288587505,37185628
Asia (excl. China and India),,1902,1.8263015199864543,37892110
Asia (excl. China and India),,1903,1.7798499531698555,40261028
Asia (excl. China and India),,1904,1.9823849736638532,45347240
Asia (excl. China and India),,1905,1.8905188001619515,46073116
Asia (excl. China and India),,1906,1.9938575665004916,50733420
Asia (excl. China and India),,1907,1.9146748585365636,55531788
