Entity,Code,Year,Annual CO2 emissions percentage,Annual CO₂ emissions
Africa,,1990,2.8964959193302553,658343900
Africa,,1991,2.9658752791734635,687670400
Africa,,1992,2.9592302057591606,666660030
Africa,,1993,3.1044506392195874,706441700
Africa,,1994,3.436855217766092,790233800
Africa,,1995,3.5889280921537883,844549400
Africa,,1996,3.5958380649328068,872284300
Africa,,1997,3.663396494038533,893938400
Africa,,1998,3.7544872861343817,912482100
Africa,,1999,3.6207009944846003,899879040
Africa,,2000,3.6488858244607196,930850800
Africa,,2001,3.581231764365388,920601800
Africa,,2002,3.4250502579546285,899995840
Africa,,2003,3.5766641958112295,989644600
Africa,,2004,3.652233788331878,1045725800
Africa,,2005,3.5772220382615183,1059372350
Africa,,2006,3.5626288511520716,1091175800
Africa,,2007,3.541820530040457,1116900100
Africa,,2008,3.662617463706409,1174755200
Africa,,2009,3.7038022885531765,1168250400
Africa,,2010,3.6475371949342223,1216669000
Africa,,2011,3.644219208087028,1257421000
Africa,,2012,3.6255642160350563,1268948200
Africa,,2013,3.633092479984623,1282541800
Africa,,2014,3.8289000602296555,1357348700
Africa,,2015,3.764060666,1332661800
Africa,,2016,3.8827253761758707,1375131500
Africa,,2017,3.8711318854890346,1393216400
Africa,,2018,3.7752197016685014,1386654300
Africa,,2019,3.9871732565203084,1479411800
Africa,,2020,3.859711053013067,1355782400
Africa,,2021,3.8969081638281815,1441534000
Africa,,2022,3.8411250547937725,1432502900
Africa,,2023,3.754115676284034,1418739200
Asia (excl. China and India),,1990,15.493248787749021,3521457000
Asia (excl. China and India),,1991,17.85414173461644,4139676700
Asia (excl. China and India),,1992,16.97262932484938,3823620600
Asia (excl. China and India),,1993,17.32290362185344,3941960400
Asia (excl. China and India),,1994,17.735684657768505,4077954000
Asia (excl. China and India),,1995,17.60772463013943,4143463700
Asia (excl. China and India),,1996,17.612938371353604,4272575500
Asia (excl. China and India),,1997,17.825051542018382,4349651500
Asia (excl. China and India),,1998,17.448730483929573,4240700000
